,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
19379,2021-10-05 00:00:00+00:00,Botswana,977,180197,6,977.0,,,,6.0,,,
19382,2021-10-08 00:00:00+00:00,Botswana,241,180438,2,609.0,520.430590953299,1129.430590953299,88.56940904670103,4.0,2.8284271247461903,6.82842712474619,1.1715728752538097
19386,2021-10-12 00:00:00+00:00,Botswana,813,181251,5,677.0,386.38840562315016,1063.3884056231502,290.61159437684984,4.333333333333333,2.0816659994661326,6.414999332799466,2.2516673338672004
19389,2021-10-15 00:00:00+00:00,Botswana,605,181856,5,659.0,317.5321506031581,976.532150603158,341.4678493968419,4.5,1.7320508075688772,6.232050807568877,2.767949192431123
19393,2021-10-19 00:00:00+00:00,Botswana,2195,184051,3,966.2,739.9183738764702,1706.1183738764703,226.2816261235298,4.2,1.6431676725154984,5.843167672515499,2.5568323274845017
19396,2021-10-22 00:00:00+00:00,Botswana,868,184919,7,949.8333333333334,663.016264255008,1612.8495975883413,286.8170690783254,4.666666666666667,1.8618986725025255,6.528565339169193,2.8047679941641412
19400,2021-10-26 00:00:00+00:00,Botswana,1066,185985,6,966.4285714285714,606.8387641822873,1573.2673356108587,359.5898072462842,4.857142857142857,1.7728105208558365,6.629953377998693,3.0843323362870203
19403,2021-10-29 00:00:00+00:00,Botswana,609,186594,4,913.8571428571429,621.5326294924583,1535.3897723496011,292.32451336468455,4.571428571428571,1.7182493859684491,6.2896779573970205,2.853179185460122
19407,2021-11-02 00:00:00+00:00,Botswana,687,187281,1,977.5714285714286,560.9705450208169,1538.5419735922455,416.6008835506117,4.428571428571429,1.9880595947760098,6.416631023347438,2.4405118337954192
19410,2021-11-05 00:00:00+00:00,Botswana,5654,192935,0,1669.142857142857,1843.1011392551982,3512.243996398055,-173.95828211234107,3.7142857142857144,2.563479777846623,6.277765492132337,1.1508059364390912
19414,2021-11-09 00:00:00+00:00,Botswana,514,193449,2,1656.142857142857,1852.1565294336785,3508.2993865765357,-196.01367229082143,3.2857142857142856,2.563479777846623,5.849194063560908,0.7222345078676624
19417,2021-11-12 00:00:00+00:00,Botswana,252,193701,2,1378.5714285714287,1902.8413716635146,3281.4128002349435,-524.2699430920859,3.142857142857143,2.6095064302514777,5.752363573108621,0.5333507126056651
19421,2021-11-16 00:00:00+00:00,Botswana,428,194129,5,1315.7142857142858,1929.5974290237943,3245.31171473808,-613.8831433095086,2.857142857142857,2.1930626551751344,5.050205512317992,0.6640802019677228
19424,2021-11-19 00:00:00+00:00,Botswana,316,194445,0,1208.5714285714287,1966.2481919587242,3174.819620530153,-757.6767633872955,2.0,1.9148542155126766,3.9148542155126766,0.08514578448732335
19428,2021-11-23 00:00:00+00:00,Botswana,207,194652,0,1151.142857142857,1992.375669778119,3143.518526920976,-841.2328126352618,1.4285714285714286,1.8126539343499322,3.2412253629213605,-0.38408250577850356
19431,2021-11-26 00:00:00+00:00,Botswana,257,194909,0,1089.7142857142858,2015.5649922776583,3105.279277991944,-925.8507065633726,1.2857142857142858,1.889822365046137,3.1755366507604226,-0.6041080793318512
